категория категорија
през низ
през преку
като како
като like
година година
година year
след откако
след по
след после
това ова
това оваа
това овој
български бугарска
български бугарски
българия бугарија
част дел
години години
време времето
време време
със со
която кои
която која
която кое
което кои
което која
което кое
външни надворешен
външни надворешно
външни надворешни
външни надворешна
препратки упатува
препратки референци
препратки препораки
град град
град градче
град градско
град градот
град градски
много многу
много многумина
век век
село село
село селски
един една
един едната
един еден
един едно
между помеѓу
между помегу
между измеѓу
между меѓу
около околу
около наоколу
софия софија
други macedonian
други други
други друѓи
още сеуште
още уште
още сепак
още повеќе
война војна
само само
област регион
област област
област реон
област округ
област подрачје
под под
община општина
място место
място локација
когато кога
вид тип
вид врсти
вид видови
една edna
една еднa
една една
една едната
една еден
една едно
всички сите
всички секого
семейство семејство
семейство фамилијарно
семейство фамилијарна
семейство фамилија
започва започнува
започва почнува
македония македонија
сащ уса
сащ usa
сащ сад
над над
над погоре
над наведените
над одозгора
него него
него го
срещу наспроти
срещу против
тези овие
тези oвие
тези тие
тези оние
души души
души душите
мини мини
мини рудници
мини рудниците
намира пронаоѓа
република република
република republic
република републиката
късно доцна
късно доцни
късно касно
май мајски
май мај
път патека
път рута
път road
път пат
отбор екипа
отбор тим
няколко малкумина
няколко неколку
няколко неколкумина
август август
август аугуст
август aug
роден родено
роден роди
роден роден
роден родени
роден раѓа
беседа разговор
беседа конверзација
беседа дискурс
септември септември
преди пред
името име
група бенд
група група
група групно
група групни
група групна
език јазик
език јазикот
юли јули
някои некои
тях ги
тях нив
река река
река ривер
река реката
януари јануари
юни јуни
юни џун
две dve
две два
две двајца
две две
октомври октомври
име име
заедно заедно
фон фон
фон вон
фон подлога
фон заднина
фон позадина
американски американска
американски американски
американски американец
март марш
март март
ноември ноември
април apr
април април
декември декември
декември дек
чрез виа
чрез преку
чрез via
чрез низ
история расказ
история сторија
история приказна
история историја
жители жители
жители жителите
различни различен
различни различно
различни поинакво
различни различна
различни поинаку
различни поинаков
различни разни
различни разно
без без
често често
често честопати
получава добива
февруари фебруари
февруари февруари
работи работа
работи дело
работи работно
работи работи
работи дела
провинция покраина
провинция провинција
провинция покраината
империя царство
империя империја
иван иван
център средина
център центар
повече уште
повече повеќе
вече веке
вече веќе
сред меѓу
три тројца
три три
три тројка
страна земја
страна држава
страна кантри
страна страната
страна страна
градове градови
население демографија
население популација
население население
завършва завршува
бил бил
малко мала
малко мал
малко литл
малко мали
малко малку
малко мало
хора народ
хора луѓе
университет универзитет
германия germany
германия германија
могат може
могат можи
могат можат
син плава
син сина
син сини
син блу
син сино
син синот
син синко
син сине
син син
награда награда
георги ѓорѓи
георги георги
георги георгиј
голяма голем
голяма голема
голяма големи
голяма големо
италия италија
сайт site
сайт сајт
участва учествува
край крај
уикипедия википедија
сезон сезона
окръг жупанија
окръг округот
окръг округ
окръг реон
днес денес
днес денеска
смъртта смрт
смъртта смртта
франция франс
франция франција
национален национални
национален национална
национален национален
национален национално
гърция грција
вижте види
вижте гледаш
вижте видете
русия русија
английски англиски
едно една
едно едната
едно еден
едно едно
първи прв
първи први
първи прво
първи прва
отново повторно
отново одново
отново пак
член членка
член член
член статија
височина висина
височина височина
височина подигнување
дъщеря ќерко
дъщеря ќерка
там таму
система систем
нея ја
нея нејзината
нея неа
нея нејзе
училище училиште
училище школа
били били
света sveta
света света
света ворлд
света world
света свет
света светот
света свету
села села
филми филмови
филми кино
александър aleksandar
александър александар
александър александер
умира умира
умира умирањето
умира умираат
умира умирање
южна јужен
южна јужна
южна јужни
южна југ
южна јужно
европа европа
димитър dimitar
димитър димитар
всеки секого
всеки некој
всеки секој
всеки сите
всеки секоја
всеки секое
части делови
баща татка
баща татко
нова ново
нова нов
нова нови
нова нова
крал крал
крал кинг
крал кралот
армия армија
армия војска
църква црква
докато додека
официален официјално
официален службен
официален службено
официален официјална
официален формално
официален формални
официален формална
официален формален
северна северно
северна север
северна северот
северна северен
северна северна
времето времето
времето време
българска бугарска
българска бугарски
освен освен
места места
места седишта
начин начин
период период
период period
резултат исход
резултат оценка
резултат резултат
резултат поен
футболисти фудбалерите
футболисти фудбалери
данни податок
данни податоци
страница страница
страница страницата
картинка слика
граф граф
родени родено
родени роди
родени роден
родени родени
родени раѓа
играе пушти
играе играј
играе свири
играе претставите
играе свирење
играе играње
живот живот
живот life
живот животот
тук тука
император императорот
император цар
император император
църквата црква
ден ден
жени жени
жени женски
жени жените
руски руска
руски руски
руски руско
известен позната
известен познати
известен познат
известен познатата
известен славна
добре добра
добре добро
добре добар
мария марија
дори дури
води води
води трага
води олово
води водечки
води водство
тогава потоа
тогава тогаш
голям голем
голям голема
голям големи
голям големо
род родот
род род
филм филм
филм филмски
филм филмска
шаблон шаблон
шаблон образец
почти речиси
почти скоро
печели победува
печели победи
страни партиите
страни партии
страни забави
страни страни
страни земји
страни држави
площ област
площ подрачје
острови острови
код шифра
код код
френски французи
френски француски
генерал општи
генерал општа
генерал општо
генерал генерал
защото бидејќи
държава земја
държава држава
държава кантри
държава состојба
дата датум
дата дата
двете двајцата
обикновено обично
обикновено типично
големи голем
големи голема
големи големи
големи големо
деца деца
петър питер
петър петар
петър petar
остава останува
остава остатоци
сили моќи
сили овластувања
сили ингеренции
сили сили
сили силите
дължина должина
българи бугарите
българи бугари
албум албум
гръцки грчки
гръцки грчка
гръцки грк
дни денови
дни дена
съюз синдикат
съюз унија
съюз union
съюз сојуз
съюз алијанса
съюз алијансата
партия партиски
партия партиска
партия забава
партия журка
партия партија
политик политичар
пише пишува
брат брате
брат брат
работа работа
работа работно
работа дело
голове голови
голове цели
остров островот
остров остров
председател претседател
председател претседавач
председател претседавачот
среща датум
среща дата
среща исполни
среща средба
среща состанок
среща рандеву
групи бендови
групи групи
информация инфо
информация информации
информация информација
нови ново
нови нов
нови нови
нови нова
включва вклучува
пъти пати
писател романсиер
писател писателка
писател писател
херцог војвода
херцог дук
херцог дјук
херцог кнез
министър министер
министър министерката
министър министерка
цел автогол
цел цел
цел гол
цел нишани
цел намена
цел објективни
цел таргет
цел метата
цел мета
участие вклученост
участие вмешаност
участие учествува
участие учество
войната војна
османската отоманско
османската отоманската
османската отомански
никола николас
никола никола
никола nikola
море море
пловдив пловдив
отбора екипа
отбора тим
продължава продолжува
списък листа
списък список
дава дава
историята историја
брой грофот
брой број
култура култура
всяка секоја
всяка секое
всяка секој
същата истите
същата истото
същата исто
същата исти
същата ист
същата иста
известни позната
известни познати
известни познат
известни познатата
известни славна
степен одделение
степен оцена
степен диплома
степен степен
статия член
статия статија
територията територија
регион регион
повечето повеќето
повечето најмногу
редактор уредник
редактор уредувач
разположен лоциран
разположен лоцирана
разположен лоцирано
разположен сместена
друг macedonian
друг други
друг друг
друг друга
джон јован
джон џон
малки малечко
малки мала
малки мал
малки мали
малки мало
малки литл
малки малку
футболист фудбалерот
футболист фудбалер
вероятно веројатно
вероятно највероватно
вероятно најверојатно
организация организација
договор договор
договор спогодба
север северно
север север
север северот
васил vasil
васил васил
изток исток
изток источна
изток источни
изток источно
изток источен
четири four
четири четри
четири четири
четири четворица
испания шпанија
особено особено
особено поготово
особено посебно
разположено лоциран
разположено лоцирана
разположено лоцирано
разположено сместена
човек особа
човек личност
човек човечко
човек човек
човек човечки
човек човечка
човек маж
човек чоек
човек мен
човек човекот
състав состав
общо вкупно
общо вкупен
общо тотал
общо вкупна
треньор тренер
треньор тренерот
отбори екипи
отбори тимови
рим рим
статии статии
статии натписи
статии артикли
статии написи
управление управување
управление менаџмент
управление раководење
управление владеење
управление управа
управление контролира
управление контроли
управление контролите
литература литература
литература книжевност
дейност дејност
дейност активност
дейност активности
цар крал
цар кинг
цар кралот
цар цар
хората народ
хората луѓе
видове врсти
видове видови
видове типови
власт моќ
власт власт
власт моќност
живота живот
живота life
живота животот
стефан stefan
стефан стефан
стефан штефан
тип тип
военни воена
военни војска
изчезване изумирање
изчезване истребување
изчезване исчезнување
изчезване исчезнуваат
изчезване исчезнува
изчезване исчезне
изчезване исчезнат
изчезване исчезнувањето
вида vida
вида вида
шампион шампион
шампион првак
шампион champion
съвет совет
съвет совети
съвет бакшиш
свързани поврзани
свързани поврзано
свързани поврзан
исторически историски
исторически историско
исторически историска
римски римска
римски римски
римски римјанин
римски роман
римски римско
христо христо
кръг круг
кръг округла
кръг рунда
майка мајко
майка мајката
майка мајка
карта мап
карта карта
карта мапа
карта мапата
карта картичка
карта картичката
англия англија
нов ново
нов нов
нов нови
нов нова
неговата негова
неговата негово
неговата неговите
неговата неговиот
неговата неговата
неговата негов
песни песни
втори второ
втори втор
втори втори
втори втората
втори втора
множество повеќекратни
множество повеќекратна
множество повеќекратен
множество мноштвото
политика политика
преминава минува
преминава поминува
преминава помине
преминава пропусници
стара старо
стара стари
стара стар
стара стара
форма облик
форма форма
семейството семејство
семейството фамилијарно
семейството фамилијарна
семейството фамилија
съпруга сопруга
съпруга жена
втора второ
втора втор
втора втори
втора втората
втора втора
район регион
район реон
район округ
район област
район подрачје
музика музика
близо блиску
близо затвори
близо близу
първенство шампионат
първенство првенство
първенство шампионски
представлява представува
представлява претставува
варна варна
манастир манастир
файл датотека
средата средината
награди наградува
награди награди
немски германски
немски герман
немски германска
помощ помагаат
помощ помош
вода вода
вода воден
първоначално првично
първоначално првобитно
първоначално изворно
първоначално почетен
първоначално првичните
първоначално првични
първоначално почетно
карл карл
свят ворлд
свят world
свят свет
свят светот
свят свету
николай николај
николай николаи
скоро наскоро
скоро набрзо
западна запад
западна западно
западна вест
западна вестерн
западна западни
западна западна
войски трупи
войски војници
стил стил
живее животи
живее живота
достига достигнува
достига достигне
избран одбрани
избран избрани
избран избран
избран избрано
избран избрана
избран одбрано
марк марк
марк белег
марк обележи
африка африка
запад запад
запад западно
запад вест
революционер револуционерна
революционер револуционер
революционер револуционерен
революционер револуционерно
земята земја
земята земјата
земята земјо
връзка поврзување
връзка врска
връзка поврзи
връзка однос
роля улога
италиански италијанска
италиански италијански
италиански италијанецот
италиански италијанец
създава креира
създава создава
москва москва
москва московски
как како
китай кина
линия линија
великобритания британија
свети светец
свети свети
свети сеинт
свети света
свети свето
кариера кариера
кариера кариери
кариера каменолом
кариера каменоломот
развитие развој
лига лига
лига лиги
роман римска
роман римски
роман римјанин
роман роман
роман римско
роман новела
провежда спроведува
източници извори
политически политички
политически политичко
политически политичка
америка америка
консул конзул
книги книги
стадион стадион
служба услуги
служба служба
служба сервис
служба услуга
другите друѓи
другите други
произход потекло
точка елемент
точка предмет
точка ставка
точка точка
фридрих фридрих
фридрих фредерик
сърбия србија
академия академија
първо прв
първо први
първо прво
първо прва
предимно воглавно
предимно главно
предимно претежно
предимно најмногу
предимно најчесто
силно гласна
силно гласно
силно гласен
силно јака
силно јаки
силно силни
силно силен
силно силна
силно тешко
силно тврд
силно силно
силно јако
писатели писатели
годината година
годината year
михаил михаил
членове членки
членове членовите
членове членови
всичко сè
всичко се
всичко све
всичко сѐ
всичко сите
включително вклучувајќи
такива вакви
такива таквите
такива такви
такива таков
такива таква
българско бугарска
българско бугарски
птица птица
влиза влегува
автор автор
орден орден
възраст возраст
възраст старост
комитет комитет
комитет комитетот
комитет комисија
добър добра
добър добро
добър добар
езици јазици
държави државите
държави држави
държави земји
бързо брзо
бързо бргу
бързо брз
бързо брзи
личности личности
личности особини
сега сега
ссср советите
ссср ссср
връх маунт
връх планината
връх монтирање
връх врв
учи изучување
учи студијата
учи проучување
учи студија
битката борба
битката битка
ред ред
ред наредба
ред нарачка
ред редослед
ред црвен
ред црвена
ред црвено
ред црвени
ред редица
ред row
мач игра
мач поклопување
мач натпревар
мач совпаѓање
турция мисирка
турция турција
дивизия дивизија
дивизия поделба
макар иако
събития настани
серия серија
серия серии
градът град
градът градче
градът градско
градът градот
градът градски
планина планинска
планина планински
планина планина
планина маунт
планина планината
планина монтирање
нещо нешто
ляво лево
ляво лева
ляво левица
сан san
